GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000128833	-1.8348036	-0.8563363
ENSG00000128849	-1.7808252	-0.9100061
ENSG00000128872	1.0838793	3.0598337
ENSG00000128917	-1.7614055	-0.8091574
ENSG00000128918	-2.8116132	-1.7362909
ENSG00000128923	-0.0776343	-0.0970429
ENSG00000128944	-0.0776343	-0.0970429
ENSG00000128951	-0.0776343	-0.0970429
ENSG00000128989	-0.0776343	-0.0970429
ENSG00000129009	-29.0409480	-34.9721659
ENSG00000129038	-2.3116858	-1.2334784
ENSG00000129116	-1.1235815	-1.4044769
ENSG00000129158	-1.8474605	-0.4109313
ENSG00000129167	-2.1220975	-0.6559874
ENSG00000129195	0.3857288	2.0275440
ENSG00000129204	-3.7475310	-2.7004128
ENSG00000129244	-2.9635122	-3.7043903
ENSG00000129250	-0.0776343	-0.0970429
ENSG00000129255	-0.0776343	-0.0970429
ENSG00000129270	-1.6043817	-0.9563860
ENSG00000129277	-3.7577687	-3.2633025
ENSG00000129315	-0.0776343	-0.0970429
ENSG00000129317	1.2688275	3.2937517
ENSG00000129355	-0.0776343	-0.0970429
ENSG00000129450	-1.7380884	-0.9453008
ENSG00000129451	-3.3829814	-4.2287267
ENSG00000129465	-1.3322158	-0.0690568
ENSG00000129467	-2.7787912	-1.9223005
ENSG00000129515	-0.0776343	-0.0970429
ENSG00000129521	-0.2060272	-0.2575340
ENSG00000129538	-25.7101921	-32.1377401
ENSG00000129636	-1.9333915	-0.4652305
ENSG00000129646	-1.8321606	-0.8003179
ENSG00000129682	-3.5363888	-2.6445818
ENSG00000129824	-0.2060272	-0.2575340
ENSG00000129910	-1.8137687	-0.8170739
ENSG00000129946	-5.3419533	-4.8978133
ENSG00000129968	-0.0776343	-0.0970429
ENSG00000129993	-1.6765492	-0.9849202
ENSG00000130024	-0.0776343	-0.0970429
ENSG00000130045	-1.3860797	0.0000000
ENSG00000130055	-1.8273481	-0.9541520
ENSG00000130164	-1.3035210	-0.0592889
ENSG00000130176	-3.3939145	-2.6785499
ENSG00000130201	-3.2497230	-2.4601873
ENSG00000130203	-2.6804214	-3.3505267
ENSG00000130208	-2.7819682	-3.4774603
ENSG00000130222	-1.3488922	-1.6861153
ENSG00000130226	-1.6206205	-1.0755924
ENSG00000130227	1.0457996	3.0102003
ENSG00000130254	-0.0776343	-0.0970429
ENSG00000130300	-23.3980645	-29.2475806
ENSG00000130303	-15.1298448	-16.9726854
ENSG00000130340	4.5696662	7.2232466
ENSG00000130347	-0.0776343	-0.0970429
ENSG00000130402	-0.2060272	-0.2575340
ENSG00000130413	-3.0557839	-2.1127505
ENSG00000130449	-0.0776343	-0.0970429
ENSG00000130508	0.1467805	1.8727894
ENSG00000130518	-3.4120743	-2.4426084
ENSG00000130528	-1.8520091	-0.8856634
ENSG00000130545	-1.3860797	0.0000000
ENSG00000130559	-0.0776343	-0.0970429
ENSG00000130592	-0.6655545	-0.8319431
ENSG00000130600	-7.2523480	-7.1893987
ENSG00000130635	-17.4902840	-19.9644438
ENSG00000130638	-3.4705049	-2.3696342
ENSG00000130649	-1.8542195	-2.3177743
ENSG00000130702	-1.8162638	-0.3917501
ENSG00000130707	-3.0301137	-2.1898142
ENSG00000130748	1.2191552	2.9587387
ENSG00000130749	-0.0776343	-0.0970429
ENSG00000130755	-2.1308774	-1.0624068
ENSG00000130762	-1.4406448	-1.8008060
ENSG00000130768	-1.8117083	-0.8592519
ENSG00000130783	-1.3860797	0.0000000
ENSG00000130881	1.0955774	2.8828479
ENSG00000130940	-1.2945998	-1.6182498
ENSG00000130985	-0.0776343	-0.0970429
ENSG00000130988	-1.3860797	0.0000000
ENSG00000131023	-0.0776343	-0.0970429
ENSG00000131080	-1.1986883	-1.4983603
ENSG00000131097	-1.3860797	0.0000000
ENSG00000131100	-0.0776343	-0.0970429
ENSG00000131127	-0.0776343	-0.0970429
ENSG00000131148	-0.0776343	-0.0970429
ENSG00000131153	-0.0776343	-0.0970429
ENSG00000131171	-3.1456996	-2.0147298
ENSG00000131203	-1.5189547	-1.0374644
ENSG00000131263	0.1294235	1.7163283
ENSG00000131373	1.0812645	3.0539438
ENSG00000131378	-1.8983140	-0.4336046
ENSG00000131401	-2.2037690	-0.5937507
ENSG00000131462	-0.0776343	-0.0970429
ENSG00000131467	-0.0776343	-0.0970429
ENSG00000131471	-3.2612184	-2.5192678
ENSG00000131473	-0.0776343	-0.0970429
ENSG00000131477	-1.1461556	-1.4326945
ENSG00000131484	-1.8863843	-0.9283550
ENSG00000131558	-3.8817961	-2.8021971
ENSG00000131620	-1.5748347	-0.9141930
ENSG00000131634	1.2446591	3.0567532
ENSG00000131711	-0.0562461	1.6480012
ENSG00000131725	1.0338908	2.9970931
ENSG00000131730	-1.0585106	-1.3231383
ENSG00000131746	-3.1039501	-1.6836872
ENSG00000131747	0.1526444	1.7491890
ENSG00000131771	-1.6806815	-0.8609260
ENSG00000131844	-0.0776343	-0.0970429
ENSG00000131845	-0.0776343	-0.0970429
ENSG00000131849	-0.0776343	-0.0970429
ENSG00000131899	-0.0776343	-0.0970429
ENSG00000131914	-1.8665890	-0.8974040
ENSG00000131931	-0.0776343	-0.0970429
ENSG00000131941	-0.0776343	-0.0970429
ENSG00000131943	-0.0147594	1.5523031
ENSG00000131969	-3.2857748	-2.2684708
ENSG00000132000	-3.2126947	-2.5226345
ENSG00000132026	-1.7872231	-1.0098669
ENSG00000132130	-1.8581675	-0.8397402
ENSG00000132142	-0.0776343	-0.0970429
ENSG00000132155	-0.0776343	-0.0970429
ENSG00000132182	-5.4160705	-4.9837951
ENSG00000132196	0.2718938	1.8824922
ENSG00000132274	-5.3317982	-4.8016593
ENSG00000132294	0.2701472	1.8785569
ENSG00000132297	-1.9110345	-1.0328793
ENSG00000132300	-0.0776343	-0.0970429
ENSG00000132305	-0.0776343	-0.0970429
ENSG00000132313	-0.0776343	-0.0970429
ENSG00000132323	-0.0776343	-0.0970429
ENSG00000132326	-2.7907716	-1.7773505
ENSG00000132329	-1.0663673	-1.3329591
ENSG00000132341	1.0476783	3.0125177
ENSG00000132356	-0.0776343	-0.0970429
ENSG00000132361	-0.0776343	-0.0970429
ENSG00000132394	-3.1390112	-1.9791310
ENSG00000132429	0.8627317	2.5978546
ENSG00000132436	-0.0776343	-0.0970429
ENSG00000132463	-0.0776343	-0.0970429
ENSG00000132465	-3.0885795	-1.6595989
ENSG00000132466	-0.0776343	-0.0970429
ENSG00000132470	-18.4411375	-21.0404705
ENSG00000132517	-1.8218872	-1.0238840
ENSG00000132530	-2.5567065	-3.1958832
ENSG00000132549	-1.9787492	-0.4652619
ENSG00000132554	-3.9487482	-2.9963180
ENSG00000132561	-14.9045704	-16.7646502
ENSG00000132570	-1.8528873	-0.4188574
ENSG00000132622	-1.7686248	-0.8222741
ENSG00000132640	0.2119704	1.8208089
ENSG00000132646	0.3668507	1.9793520
ENSG00000132669	-2.7779289	-1.7881433
ENSG00000132677	-0.0776343	-0.0970429
ENSG00000132698	-3.0678823	-1.6258118
ENSG00000132702	-1.7725769	-0.8198574
ENSG00000132704	-1.3860797	0.0000000
ENSG00000132746	-6.6119346	-6.3727377
ENSG00000132819	-0.0776343	-0.0970429
ENSG00000132821	-1.3855155	-1.7318944
ENSG00000132823	-0.0776343	-0.0970429
ENSG00000132825	-0.0776343	-0.0970429
ENSG00000132837	-1.3860797	0.0000000
ENSG00000132840	-1.9016261	-0.4481449
ENSG00000132842	-1.8140194	-0.3927553
ENSG00000132849	-3.1542814	-1.9639884
ENSG00000132874	-1.8988155	-0.9346285
ENSG00000132912	-0.0776343	-0.0970429
ENSG00000132915	-1.9852027	-1.0844781
ENSG00000132932	-0.2060272	-0.2575340
ENSG00000132953	-0.0776343	-0.0970429
ENSG00000132965	-1.6121262	-1.0688284
ENSG00000132970	-0.1882549	1.4926366
ENSG00000133026	-1.3860797	0.0000000
ENSG00000133027	-0.2060272	-0.2575340
ENSG00000133028	-0.0776343	-0.0970429
ENSG00000133048	-0.6655545	-0.8319431
ENSG00000133059	-0.0776343	-0.0970429
ENSG00000133065	-0.0776343	-0.0970429
ENSG00000133101	-1.6365508	-2.0456885
ENSG00000133104	1.0928678	3.0682532
ENSG00000133106	-2.9131081	-1.9843938
ENSG00000133107	-1.3860797	0.0000000
ENSG00000133110	-26.4005369	-33.0006711
ENSG00000133114	1.1677209	1.4596511
ENSG00000133119	-0.0776343	-0.0970429
ENSG00000133195	-2.0044833	-0.5090220
ENSG00000133216	-3.1729485	-2.3531205
ENSG00000133256	-3.3421274	-2.3994830
ENSG00000133275	-0.0776343	-0.0970429
ENSG00000133315	-0.2060272	-0.2575340
ENSG00000133321	-1.4470314	-1.8087892
ENSG00000133401	-2.8189399	-1.7899382
ENSG00000133424	-0.2060272	-0.2575340
ENSG00000133624	-3.2891139	-2.3292000
ENSG00000133640	-0.2060272	-0.2575340
ENSG00000133657	-1.3511875	-0.0984432
ENSG00000133665	-1.8325692	-0.8093874
ENSG00000133703	-0.0776343	-0.0970429
ENSG00000133704	-0.0776343	-0.0970429
ENSG00000133710	-6.5445787	-6.3386213
ENSG00000133808	-1.6897830	-0.8689540
ENSG00000133943	-0.0776343	-0.0970429
ENSG00000133958	-1.3860797	0.0000000
ENSG00000133962	-1.2694112	-1.5867640
ENSG00000134001	-0.0776343	-0.0970429
ENSG00000134020	-2.1099313	-0.5697012
ENSG00000134030	-0.2060272	-0.2575340
ENSG00000134042	-1.8430747	-0.8058055
ENSG00000134057	0.1185784	1.7152029
ENSG00000134109	0.0434317	1.6253178
ENSG00000134115	-1.7327594	-0.9936282
ENSG00000134121	-1.1049644	-1.3812055
ENSG00000134138	-10.0527119	-11.5565208
ENSG00000134146	-3.9120397	-2.8598083
ENSG00000134160	-0.2060272	-0.2575340
ENSG00000134201	-1.8381318	-0.8016625
ENSG00000134215	-1.9151033	-0.4400115
ENSG00000134243	1.1280838	3.1116746
ENSG00000134248	-0.0776343	-0.0970429
ENSG00000134265	-0.0776343	-0.0970429
ENSG00000134285	-1.7752562	-2.2190703
ENSG00000134308	1.1228721	3.1052493
ENSG00000134313	-0.0776343	-0.0970429
ENSG00000134317	-3.2046093	-2.4317311
ENSG00000134321	-2.8437798	-1.9291173
ENSG00000134324	-0.0776343	-0.0970429
ENSG00000134339	-3.2167401	-2.3071830
ENSG00000134444	-0.0776343	-0.0970429
ENSG00000134452	-0.0776343	-0.0970429
ENSG00000134470	-2.8736763	-1.9603051
ENSG00000134489	-1.9237247	-1.0176776
ENSG00000134516	-0.2060272	-0.2575340
ENSG00000134532	-0.2060272	-0.2575340
ENSG00000134533	-3.8923950	-3.2774293
ENSG00000134539	-3.7480547	-3.0910968
ENSG00000134594	0.4283071	2.1615498
ENSG00000134602	-0.0832893	1.5773376
ENSG00000134612	-1.3860797	0.0000000
ENSG00000134668	-0.5942555	0.9546686
ENSG00000134690	-0.0776343	-0.0970429
ENSG00000134755	-0.6655545	-0.8319431
ENSG00000134757	-4.8979748	-4.7631057
ENSG00000134760	-3.5761993	-4.4702491
ENSG00000134762	-3.2251275	-4.0314093
ENSG00000134765	-0.6655545	-0.8319431
ENSG00000134779	-0.0078591	1.5645033
ENSG00000134802	-1.3860797	0.0000000
ENSG00000134824	-1.1455480	0.1744306
ENSG00000134827	-3.1278084	-3.9097606
ENSG00000134852	0.1102150	1.7025530
ENSG00000134864	-0.2060272	-0.2575340
ENSG00000134874	-0.2763156	1.3640721
ENSG00000134882	-3.0309772	-1.8705553
ENSG00000134884	-0.2060272	-0.2575340
ENSG00000134905	-0.0776343	-0.0970429
ENSG00000134940	-1.3860797	0.0000000
ENSG00000134954	0.1863372	1.7870324
ENSG00000134962	-1.9569228	-0.9341052
ENSG00000134970	-1.3500179	-0.0954957
ENSG00000134982	-1.3010685	-0.0577404
ENSG00000134986	-16.2334025	-18.3856738
ENSG00000134987	1.1826410	3.1791014
ENSG00000135002	-0.0776343	-0.0970429
ENSG00000135018	0.1543703	1.7545214
ENSG00000135045	0.0087659	1.5826116
ENSG00000135048	-0.6807949	-0.8509936
ENSG00000135049	-0.0776343	-0.0970429
ENSG00000135063	-2.6477855	-1.6771092
ENSG00000135069	-0.2060272	-0.2575340
ENSG00000135070	-0.0776343	-0.0970429
ENSG00000135077	-3.9306633	-3.3531096
ENSG00000135083	-0.0776343	-0.0970429
ENSG00000135094	-3.8390972	-3.0713741
ENSG00000135108	-0.0776343	-0.0970429
ENSG00000135119	-0.2060272	-0.2575340
ENSG00000135127	-2.8237493	-1.8459449
ENSG00000135144	-1.7815172	-0.9238019
ENSG00000135205	-3.0623847	-2.0812436
ENSG00000135218	1.2081352	3.0918373
ENSG00000135314	-1.7986142	-0.7918114
ENSG00000135316	-1.3860797	0.0000000
ENSG00000135318	5.8633289	8.8087566
ENSG00000135334	-0.0776343	-0.0970429
ENSG00000135338	0.1013540	1.6996175
ENSG00000135365	1.1389694	1.4237117
ENSG00000135387	-0.0776343	-0.0970429
ENSG00000135407	-1.8255215	-0.4001337
ENSG00000135424	-1.0783779	-1.3479724
ENSG00000135447	-1.8775306	-0.9927862
ENSG00000135472	-1.8320553	-0.8741104
ENSG00000135476	-0.0776343	-0.0970429
ENSG00000135480	-3.5676183	-2.7450965
ENSG00000135502	-1.9060816	-0.8603737
ENSG00000135519	-1.8743886	-0.8390205
ENSG00000135535	-0.0776343	-0.0970429
ENSG00000135540	3.5105181	6.0237601
ENSG00000135547	-3.0884755	-2.2799254
ENSG00000135604	0.9588373	2.7225822
ENSG00000135622	0.1760589	1.7915849
ENSG00000135625	-1.9274586	-0.4327734
ENSG00000135636	-2.9140437	-2.0102218
ENSG00000135643	-3.1666747	-2.1746506
ENSG00000135678	-0.2060272	-0.2575340
ENSG00000135686	-0.0776343	-0.0970429
ENSG00000135720	1.2965666	3.3192496
ENSG00000135744	-2.8965738	-3.6207173
ENSG00000135750	-1.3860797	0.0000000
ENSG00000135773	-1.3860797	0.0000000
ENSG00000135776	1.3316047	3.3647619
ENSG00000135801	-0.0776343	-0.0970429
ENSG00000135837	-0.0776343	-0.0970429
ENSG00000135847	-1.9613703	-0.4876246
ENSG00000135870	-0.0776343	-0.0970429
ENSG00000135916	-1.3860797	0.0000000
ENSG00000135917	-2.9109456	-1.8522658
ENSG00000135926	-0.0776343	-0.0970429
ENSG00000135931	-0.3042669	1.4957864
ENSG00000135932	-0.0776343	-0.0970429
ENSG00000135956	-0.0776343	-0.0970429
ENSG00000136002	-1.2809684	-1.6012105
ENSG00000136010	0.5568490	2.2494882
ENSG00000136021	0.1474368	1.7433116
ENSG00000136040	0.4775623	2.1469707
ENSG00000136045	-0.0776343	-0.0970429
ENSG00000136059	1.5997343	1.9996679
ENSG00000136108	0.5977576	2.2532855
ENSG00000136143	-0.0776343	-0.0970429
ENSG00000136155	-1.7156727	-0.8812996
ENSG00000136158	0.0287750	1.6061888
ENSG00000136159	-0.0776343	-0.0970429
ENSG00000136193	-1.2956931	-0.0346587
ENSG00000136197	-0.2060272	-0.2575340
ENSG00000136237	-1.0842536	-1.3553171
ENSG00000136238	-0.0776343	-0.0970429
ENSG00000136250	-4.0089497	-3.2966907
ENSG00000136267	-1.9571996	-0.9761123
ENSG00000136295	-0.0285610	1.6249166
ENSG00000136379	-0.5763074	-0.7203842
ENSG00000136449	-1.3860797	0.0000000
ENSG00000136451	1.1557554	3.1457856
ENSG00000136457	-1.2461186	-1.5576482
ENSG00000136478	-0.0776343	-0.0970429
ENSG00000136485	-0.0776343	-0.0970429
ENSG00000136527	-0.0776343	-0.0970429
ENSG00000136536	-0.0776343	-0.0970429
ENSG00000136573	-1.3860797	0.0000000
ENSG00000136630	-2.9126279	-2.0457930
ENSG00000136634	-1.3860797	0.0000000
ENSG00000136636	-0.0776343	-0.0970429
ENSG00000136653	-2.9966276	-2.2015181
ENSG00000136689	-4.4934632	-4.2316921
ENSG00000136696	-1.7777385	-0.8774336
ENSG00000136709	-0.0776343	-0.0970429
ENSG00000136715	-0.0776343	-0.0970429
ENSG00000136731	-0.0776343	-0.0970429
ENSG00000136738	1.4336222	3.4878923
ENSG00000136758	-0.0776343	-0.0970429
ENSG00000136770	-2.9641696	-1.7931697
ENSG00000136824	0.5046061	2.1567314
ENSG00000136828	-0.2060272	-0.2575340
ENSG00000136842	-0.2060272	-0.2575340
ENSG00000136854	1.4497755	3.5077551
ENSG00000136859	1.7943974	3.9311402
ENSG00000136869	-1.3099425	-0.0627266
ENSG00000136875	-0.0776343	-0.0970429
ENSG00000136881	-1.5666841	-1.0046364
ENSG00000136883	-1.8157740	-0.8475402
ENSG00000136891	-0.0776343	-0.0970429
ENSG00000136895	-0.2060272	-0.2575340
ENSG00000136937	-0.0776343	-0.0970429
ENSG00000136940	-0.0776343	-0.0970429
ENSG00000136943	0.6529205	2.3814079
ENSG00000136982	1.2914141	3.3138197
ENSG00000136999	-1.2318479	0.0177929
ENSG00000137040	1.2096994	3.2143733
ENSG00000137055	-0.0776343	-0.0970429
ENSG00000137100	-0.0776343	-0.0970429
ENSG00000137145	-0.0776343	-0.0970429
ENSG00000137177	-1.8333950	-0.3973408
ENSG00000137218	-3.3791579	-2.2633938
ENSG00000137225	-1.3860797	0.0000000
ENSG00000137273	-1.7355422	-2.1694278
ENSG00000137285	-1.1183664	-1.3979581
ENSG00000137309	1.0703941	3.0405371
ENSG00000137310	1.2196468	3.2248037
ENSG00000137331	-1.2865693	-0.0428200
ENSG00000137337	-0.0776343	-0.0970429
ENSG00000137338	-0.0776343	-0.0970429
ENSG00000137409	-0.0776343	-0.0970429
ENSG00000137414	-0.0776343	-0.0970429
ENSG00000137441	-1.4850469	-1.8563087
ENSG00000137449	1.0880223	3.0622777
ENSG00000137474	-3.6544830	-3.0215974
ENSG00000137478	-3.2904151	-2.1385769
ENSG00000137491	-6.3152164	-6.2390903
ENSG00000137492	1.1230265	3.1054425
ENSG00000137496	-3.8928637	-2.9535343
ENSG00000137507	-4.8928509	-4.3249887
ENSG00000137558	-2.6903449	-3.3629311
ENSG00000137563	-1.3860797	0.0000000
ENSG00000137573	-21.8953610	-25.4857551
ENSG00000137642	-24.3577172	-28.5658449
ENSG00000137691	-3.0480846	-2.0628262
ENSG00000137699	-4.5531808	-2.4662284
ENSG00000137700	1.1475889	3.1357194
ENSG00000137713	-0.0776343	-0.0970429
ENSG00000137714	1.2197122	3.2246012
ENSG00000137747	-1.1861030	-1.4826288
ENSG00000137760	-0.0776343	-0.0970429
ENSG00000137764	-3.5307010	-2.4297776
ENSG00000137804	-0.0917318	1.4608626
ENSG00000137807	-0.0776343	-0.0970429
ENSG00000137809	-1.7609803	-0.8566136
ENSG00000137834	-3.5122674	-2.3589295
ENSG00000137841	-2.7962769	-1.8962182
ENSG00000137843	-1.4755026	-1.8443782
ENSG00000137845	-0.0776343	-0.0970429
ENSG00000137857	-6.0797873	-5.6581440
ENSG00000137860	-1.3860797	0.0000000
ENSG00000137868	-1.6815966	-0.9088313
ENSG00000137869	-3.1707599	-2.4803812
ENSG00000137947	-0.0776343	-0.0970429
ENSG00000137959	-1.3910833	-1.7388541
ENSG00000137960	-1.3860797	0.0000000
ENSG00000137965	-2.1457583	-1.0415383
ENSG00000137968	-1.8649992	-1.0064576
ENSG00000137970	6.3851401	9.4750557
ENSG00000137975	-3.1182423	-3.8978029
ENSG00000138018	0.0219288	1.5898647
ENSG00000138028	-2.6889266	-1.6605777
ENSG00000138032	-0.0776343	-0.0970429
ENSG00000138061	0.1587873	1.7638794
ENSG00000138071	-0.0776343	-0.0970429
ENSG00000138079	-1.3860797	0.0000000
ENSG00000138092	-0.0776343	-0.0970429
ENSG00000138095	-0.0776343	-0.0970429
ENSG00000138107	1.3114910	3.3376231
ENSG00000138119	0.5584213	2.2561874
ENSG00000138131	-3.2036155	-4.0045194
ENSG00000138138	0.1154720	1.7118568
ENSG00000138160	-0.5320215	1.0014828
ENSG00000138166	-0.2284460	1.2470883
ENSG00000138172	1.2141765	3.2179103
ENSG00000138175	1.0620640	3.0302627
ENSG00000138180	-0.5125100	1.0311375
ENSG00000138182	-0.7852312	0.7396081
ENSG00000138185	-1.8600026	-0.4103000
ENSG00000138190	-0.2060272	-0.2575340
ENSG00000138193	-3.0189687	-2.0283564
ENSG00000138246	-0.0776343	-0.0970429
ENSG00000138271	-1.6557667	-0.9045587
ENSG00000138293	0.3608371	1.9735686
ENSG00000138297	-0.0776343	-0.0970429
ENSG00000138316	-1.6832694	-0.9450442
ENSG00000138336	-1.3860797	0.0000000
ENSG00000138378	-3.3952848	-2.4894690
ENSG00000138381	-0.0776343	-0.0970429
ENSG00000138413	0.3117649	1.9310542
ENSG00000138430	-0.0776343	-0.0970429
ENSG00000138435	-1.7540443	-0.8487023
ENSG00000138448	1.2013318	3.2019520
ENSG00000138449	-3.0650938	-2.3132166
ENSG00000138459	0.0707549	1.6603724
ENSG00000138463	0.3337027	1.9562636
ENSG00000138593	-0.0776343	-0.0970429
ENSG00000138613	0.5721327	2.2416014
ENSG00000138614	-0.0776343	-0.0970429
ENSG00000138615	-1.6704128	-0.9931602
ENSG00000138639	-0.2060272	-0.2575340
ENSG00000138663	-0.0776343	-0.0970429
ENSG00000138670	-2.6370776	-1.5935305
ENSG00000138675	-3.1973745	-2.1344609
ENSG00000138678	5.5182269	8.4722226
ENSG00000138688	-0.0776343	-0.0970429
ENSG00000138755	-3.2258083	-1.7722282
ENSG00000138756	0.0661941	1.6423382
ENSG00000138764	-0.0776343	-0.0970429
ENSG00000138767	0.0765331	1.6506011
ENSG00000138771	-1.1752803	-1.4691004
ENSG00000138772	-1.1796835	-1.4746044
ENSG00000138778	1.3770745	3.4279092
ENSG00000138785	-0.0776343	-0.0970429
ENSG00000138796	-0.0776343	-0.0970429
ENSG00000138798	-1.7594451	-0.8361071
ENSG00000138801	-0.0776343	-0.0970429
ENSG00000138802	0.3085022	1.9206017
ENSG00000139044	-1.1001831	-1.3752289
ENSG00000139083	-0.2060272	-0.2575340
ENSG00000139163	-0.0776343	-0.0970429
ENSG00000139173	-0.2060272	-0.2575340
ENSG00000139187	-1.8521633	-0.4111410
ENSG00000139193	-1.9008543	-0.9731338
ENSG00000139194	-1.7999109	-0.8718526
ENSG00000139219	-3.9546031	-4.9432539
ENSG00000139239	-8.3981050	-10.4976312
ENSG00000139269	-1.3860797	0.0000000
ENSG00000139329	-26.6742258	-31.1863839
ENSG00000139350	1.1751995	3.1697501
ENSG00000139351	-1.8203488	-0.3941160
ENSG00000139428	-0.0776343	-0.0970429
ENSG00000139496	-0.0776343	-0.0970429
ENSG00000139505	0.4235539	2.0669612
ENSG00000139508	-2.8613211	-1.9785542
ENSG00000139540	-1.3860797	0.0000000
ENSG00000139547	-1.7412032	-0.8928987
ENSG00000139629	-3.2596650	-2.5231839
ENSG00000139631	-3.2132036	-2.2498694
ENSG00000139645	1.0578775	3.0250988
ENSG00000139697	-1.3542716	-0.1001390
ENSG00000139737	-1.2184019	-1.5230023
ENSG00000139826	-0.0776343	-0.0970429
ENSG00000139842	-0.0776343	-0.0970429
ENSG00000139910	-1.7400718	-0.9127775
ENSG00000139970	-3.0657404	-2.2166773
ENSG00000139977	-0.0776343	-0.0970429
ENSG00000139988	-3.3600183	-2.6257223
ENSG00000140009	-1.5677962	-0.1596315
ENSG00000140015	-1.3860797	0.0000000
ENSG00000140025	-1.8791545	-0.4319528
ENSG00000140030	-1.7781442	-0.8290702
ENSG00000140090	-1.2875355	-1.6094193
ENSG00000140157	-0.0776343	-0.0970429
ENSG00000140254	-3.8893787	-3.3819619
ENSG00000140263	0.6257482	2.2915642
ENSG00000140265	-0.0776343	-0.0970429
ENSG00000140284	-1.7781151	-0.9804033
ENSG00000140285	-3.8228844	-3.0017318
ENSG00000140299	-0.0776343	-0.0970429
ENSG00000140320	-0.0776343	-0.0970429
ENSG00000140368	-3.4308779	-2.7430796
ENSG00000140386	-3.9980739	-2.9449969
ENSG00000140396	-0.0776343	-0.0970429
ENSG00000140398	-2.4110780	-1.3216288
ENSG00000140470	-3.3021184	-2.5049105
ENSG00000140519	-6.4408397	-6.2232875
ENSG00000140522	-3.2298960	-2.4825980
ENSG00000140526	1.3052620	3.3299549
ENSG00000140527	-1.3860797	0.0000000
ENSG00000140534	0.2891099	1.9145926
ENSG00000140557	-0.0776343	-0.0970429
ENSG00000140563	-0.2060272	-0.2575340
ENSG00000140600	-4.8379626	-4.2142750
ENSG00000140694	-3.6778948	-2.5982895
ENSG00000140740	-0.0776343	-0.0970429
ENSG00000140749	-2.7427052	-1.7566036
ENSG00000140807	-0.2060272	-0.2575340
ENSG00000140937	-0.2060272	-0.2575340
ENSG00000140941	0.2418080	1.8401787
ENSG00000140943	-0.0776343	-0.0970429
ENSG00000140945	-3.7062202	-2.5452631
ENSG00000140948	0.1804684	1.7836412
ENSG00000140968	-1.5017820	-0.9638151
ENSG00000140986	-1.9576538	-0.9552769
ENSG00000141034	-0.0776343	-0.0970429
ENSG00000141150	-4.6705420	-3.9108001
ENSG00000141198	1.1369001	3.1219017
ENSG00000141293	-3.4234377	-2.5667662
ENSG00000141338	-5.1220475	-4.6368437
ENSG00000141367	-0.0776343	-0.0970429
ENSG00000141376	-1.9227013	-0.4558853
ENSG00000141380	-0.0776343	-0.0970429
ENSG00000141385	-0.0776343	-0.0970429
ENSG00000141424	0.3340553	1.9694871
ENSG00000141446	-0.2060272	-0.2575340
ENSG00000141497	-1.7760700	-0.7987173
ENSG00000141505	-3.4613730	-2.7197875
ENSG00000141506	-3.0076973	-2.1373134
ENSG00000141526	-1.3401482	-0.0725647
ENSG00000141527	-5.0658100	-4.5302588
ENSG00000141568	-0.0776343	-0.0970429
ENSG00000141579	-1.6890727	-1.0072936
ENSG00000141627	-3.0315291	-1.8787979
ENSG00000141639	-4.9202400	-4.7927708
ENSG00000141646	-1.3860797	0.0000000
ENSG00000141665	-0.2060272	-0.2575340
ENSG00000141720	-0.0776343	-0.0970429
ENSG00000141748	-1.3860797	0.0000000
ENSG00000141750	-1.6721525	-0.9122132
ENSG00000141837	-0.2744955	1.4413857
ENSG00000141968	-0.0776343	-0.0970429
ENSG00000142046	-2.6267000	-1.6115368
ENSG00000142156	-2.3654342	-2.9567928
ENSG00000142166	-0.0776343	-0.0970429
ENSG00000142173	-1.7760314	-2.2200393
ENSG00000142185	-4.1042799	-3.6229151
ENSG00000142230	-0.0776343	-0.0970429
ENSG00000142233	-1.8519388	-0.9639566
ENSG00000142303	-1.8104037	-0.7885960
ENSG00000142347	-2.8909566	-1.9965442
ENSG00000142405	-1.8654688	-1.0711836
ENSG00000142544	1.0492781	3.0194430
ENSG00000142552	-2.5797846	-3.2247308
ENSG00000142583	-3.1655212	-2.5927727
ENSG00000142611	-1.8150497	-0.9704821
ENSG00000142621	-3.1605302	-2.2711201
ENSG00000142655	-3.4384044	-2.3288100
ENSG00000142657	0.1659966	1.7645347
ENSG00000142675	-3.4729644	-2.6647782
ENSG00000142677	-1.7066735	-1.0340932
ENSG00000142686	-0.0776343	-0.0970429
ENSG00000142694	0.4383365	2.0816756
ENSG00000142731	0.1876824	1.7987058
ENSG00000142748	-1.7168327	-0.9784880
ENSG00000142765	-3.1225223	-2.3269954
ENSG00000142864	-0.0776343	-0.0970429
ENSG00000142945	0.3285488	1.9506519
ENSG00000142949	-11.2854372	-12.2688117
ENSG00000143110	-4.9786285	-5.0819558
ENSG00000143119	-19.2890297	-24.1112871
ENSG00000143127	-6.1417886	-5.8734657
ENSG00000143140	-1.6638409	-0.9489274
ENSG00000143153	-2.3978849	-2.9973561
ENSG00000143156	-3.8226861	-2.7690315
ENSG00000143157	-0.0776343	-0.0970429
ENSG00000143158	-0.0776343	-0.0970429
ENSG00000143196	-1.3860797	0.0000000
