GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000036054	-0.0776343	-0.0970429
ENSG00000036530	-1.8481388	-0.8342720
ENSG00000037241	-0.0776343	-0.0970429
ENSG00000037280	-1.7266065	-0.9522168
ENSG00000038274	-0.0776343	-0.0970429
ENSG00000038427	-2.4367413	-3.0459267
ENSG00000038945	-4.1354896	-4.0437134
ENSG00000039319	-0.8783819	0.6183308
ENSG00000040199	-0.0776343	-0.0970429
ENSG00000040275	-0.0776343	-0.0970429
ENSG00000042062	-1.8129746	-0.8230545
ENSG00000042088	-0.0776343	-0.0970429
ENSG00000042493	-2.5826694	-3.2283368
ENSG00000042781	-2.0241300	-0.4251116
ENSG00000042832	-3.1642638	-2.2064820
ENSG00000042980	-1.7283042	-0.9246168
ENSG00000043093	-0.0776343	-0.0970429
ENSG00000043462	-15.2507188	-17.1842965
ENSG00000044524	-1.7884889	-0.9562258
ENSG00000044574	-0.0776343	-0.0970429
ENSG00000046774	-0.6655545	-0.8319431
ENSG00000047056	-0.0776343	-0.0970429
ENSG00000047579	-3.5430172	-2.4521643
ENSG00000047621	-0.0776343	-0.0970429
ENSG00000047644	-0.0776343	-0.0970429
ENSG00000047662	-0.0776343	-0.0970429
ENSG00000048028	-0.0776343	-0.0970429
ENSG00000048471	-2.9689030	-1.7979305
ENSG00000048828	-0.0776343	-0.0970429
ENSG00000049089	-2.8723994	-1.9987304
ENSG00000049245	-0.0776343	-0.0970429
ENSG00000049249	-1.8043639	-0.9561203
ENSG00000049323	-0.2060272	-0.2575340
ENSG00000049768	-1.3860797	0.0000000
ENSG00000049769	-0.2060272	-0.2575340
ENSG00000050130	-0.0776343	-0.0970429
ENSG00000050393	-0.0776343	-0.0970429
ENSG00000050555	-5.7039649	-5.2419340
ENSG00000050628	-3.7346720	-2.9330908
ENSG00000050730	-1.8853756	-0.8543081
ENSG00000050748	-0.0776343	-0.0970429
ENSG00000050767	-1.8282941	-1.0649869
ENSG00000051620	-0.0776343	-0.0970429
ENSG00000052344	-1.3860797	0.0000000
ENSG00000052795	0.4832063	2.1246296
ENSG00000052802	0.1730502	1.7834366
ENSG00000053108	-3.1187441	-2.3170179
ENSG00000053524	-1.8488387	-0.4093310
ENSG00000053747	-3.4001449	-2.6297097
ENSG00000053770	1.0328017	2.9941654
ENSG00000053918	-5.7715060	-5.4299109
ENSG00000054598	-2.8608537	-2.0421161
ENSG00000054611	-3.5088555	-2.4084120
ENSG00000055070	-0.0776343	-0.0970429
ENSG00000055917	1.1107812	3.0903419
ENSG00000055955	-0.2060272	-0.2575340
ENSG00000056558	-0.2060272	-0.2575340
ENSG00000056586	0.3026418	1.9289558
ENSG00000057019	3.6908745	6.2611042
ENSG00000057149	-0.6655545	-0.8319431
ENSG00000057252	0.9374582	2.6575106
ENSG00000057294	-1.7514414	-0.9371785
