GeneID	Tumor_0	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Tumor_51	Tumor_52	Tumor_53	Tumor_54	Tumor_55	Tumor_56	Tumor_57	Tumor_58	Tumor_59	Tumor_60	Tumor_61	Tumor_62	Tumor_63	Tumor_64	Tumor_65	Tumor_66	Tumor_67	Tumor_68	Tumor_69	Tumor_70	Tumor_71	Tumor_72	Tumor_73	Tumor_74	Tumor_75	Tumor_76	Tumor_77	Tumor_78	Tumor_79	Tumor_80	Tumor_81	Tumor_82	Tumor_83	Tumor_84	Tumor_85	Tumor_86	Tumor_87	Tumor_88	Tumor_89	Tumor_90	Tumor_91	Tumor_92	Tumor_93	Tumor_94	Tumor_95	Tumor_96	Tumor_97	Tumor_98	Tumor_99	Tumor_100	Control_0	Control_1
ENSG00000101115	2.26783	0.725468	0	0.816015	0.203205	0.0960894	0.258986	2.16701	1.67744	0.50676	0.0697134	0	0	2.41147	4.47736	0.220789	0.125295	0	3.54513	0	0.303115	1.24178	3.23224	0.59996	0	0.680515	0.190607	2.54293	0.621194	0.370718	0.0883194	0	1.46393	1.50188	0.650561	2.05892	0.485417	0.533417	2.90939	1.21869	0.133899	0.443473	5.51763	0.0803331	4.01167	0.0636243	1.69615	0.46116	0.420486	0.308911	2.40106	3.006	1.68286	0.730414	0.625504	0.229958	0.122608	0.42069	0	1.17241	0	0.325431	0.100394	0.20963	3.33195	0	0	0.412723	2.05318	0.502511	0.377923	0	0	0.177857	0	0	0	2.0572	0.511724	0.683376	0.241339	0.542046	4.11469	1.68561	0.45722	0.102983	1.25577	0.408944	0	0.500954	1.13334	0	10.1451	1.22186	1.42002	0.276558	0	0.628657	2.85824	0	0	4.26899	5.55119
ENSG00000101126	8.26519	23.3429	8.0714	7.03345	15.914	16.6272	25.6411	18.8675	9.81759	9.13008	12.261	10.415	8.08489	22.237	14.1158	21.0591	18.1881	9.82922	11.7732	12.009	12.26	11.264	13.7135	23.4175	12.5156	10.8228	9.09807	14.1716	6.65454	18.5689	10.8439	5.07917	10.3269	3.6885	21.452	13.6868	7.12162	7.97629	11.6071	8.30897	21.1547	7.54253	20.0697	13.5648	26.4403	14.5027	12.9419	16.873	19.5762	8.57798	11.2314	23.3055	17.3743	8.17365	13.9935	22.5065	10.7878	7.46243	12.3546	15.0491	14.2278	12.3219	19.5191	12.0661	9.87029	5.2115	17.7868	15.0491	15.2274	14.4674	6.14918	11.465	6.43317	8.55388	12.8521	16.8985	7.7939	17.9865	8.18886	13.2305	11.0456	8.19042	30.6112	15.9278	5.45117	7.92484	18.9622	5.04855	10.8093	24.9778	13.9643	5.9462	38.8213	11.2145	23.7603	16.4225	7.51428	16.6213	25.6945	7.46339	15.3132	41.5771	42.4955
ENSG00000101132	9.2505	14.2983	2.6029	14.0776	7.21711	14.8671	24.2743	10.2317	32.3298	9.72973	12.017	6.87836	6.25973	9.31843	3.0501	15.9127	10.1203	6.29646	3.73044	5.45114	9.3856	6.23863	13.2503	8.24338	5.42322	7.56277	14.4747	23.2828	6.40338	5.01509	8.0264	4.10787	15.6162	7.98954	12.9503	15.5918	4.23617	6.72949	2.80601	6.46117	26.28	22.1758	24.3658	6.22158	14.8794	12.5337	21.2564	6.40867	10.1188	9.80047	20.637	12.0964	12.1242	11.4338	9.81539	17.5521	9.83135	8.05038	7.33091	12.9475	8.80992	13.4896	14.6199	1.63959	15.4094	21.0437	6.28225	16.3407	14.7822	4.88196	16.2714	18.5893	10.3918	9.06715	11.2031	6.95208	11.8996	12.7761	6.51504	23.8893	13.8196	13.1489	10.9332	25.3264	4.96954	9.95412	10.3682	4.05278	11.5722	11.9574	3.2746	0	80.7549	7.82567	9.50461	10.7783	4.18581	12.8718	7.38997	10.3689	23.1479	37.1212	34.0381
ENSG00000101138	6.07824	29.4748	11.14	12.5019	8.13426	11.5591	14.2413	17.5031	10.4548	11.831	7.50612	6.37761	4.48383	15.066	9.86474	10.1602	6.29071	6.40409	11.7948	11.2272	6.60333	5.81083	15.0275	10.812	4.57697	12.2539	8.36773	13.6279	7.91345	15.6892	8.97652	7.78356	8.49168	7.80282	11.0305	11.2489	8.29493	10.754	21.8426	7.21246	14.2362	8.28575	16.0237	12.3866	15.626	8.59054	26.3217	5.02709	27.2398	8.66365	8.97528	7.49572	12.8318	7.36035	10.6023	15.6232	12.3345	5.63998	16.146	17.1081	8.58622	16.0707	13.462	11.8818	5.07478	7.8127	15.9045	9.16436	14.8864	10.8031	5.3495	8.90183	8.80105	5.02504	10.0607	12.7084	7.58743	12.6563	6.1968	14.7569	6.15335	12.6899	16.7259	15.8091	5.73516	10.2995	12.5891	7.44354	8.7976	9.97244	11.4427	6.6412	10.3748	8.88828	10.0978	8.25825	12.6943	16.3051	12.008	1.51545	13.9687	35.0192	41.4578
ENSG00000101224	18.725	46.0129	29.7654	34.0407	13.2048	10.7766	27.5535	38.8741	21.8504	23.3594	23.4657	44.9815	20.1402	9.65844	15.6518	79.9578	29.5109	23.869	31.6141	18.4881	13.4706	25.6502	157.096	19.272	18.9319	41.8154	18.7159	21.9387	29.3577	45.5192	28.7685	61.9198	22.0509	84.6111	17.8769	46.3378	25.1727	17.0349	56.0072	23.2259	57.9084	15.4709	71.8997	35.8846	55.4374	17.9154	17.9592	19.1957	84.1715	11.4931	9.68954	27.593	21.1298	38.0008	20.2263	23.1648	64.0627	20.2288	8.42223	20.9394	31.4627	28.5619	30.2904	21.957	30.3503	16.8261	35.8582	11.1781	7.8355	7.64719	28.8034	34.9581	22.7673	14.9521	57.5561	24.4257	27.5149	26.5272	8.90516	39.5516	10.2435	36.3945	76.2416	126.341	20.7432	18.3191	18.7665	25.6768	21.9639	16.4627	49.8836	10.6212	38.5345	21.4588	64.1115	15.7476	40.8711	39.56	14.2621	10.6364	25.0227	107.387	154.631
ENSG00000101247	10.9646	14.8782	6.65409	3.42634	8.19583	4.03121	25.908	15.8973	19.8244	9.39987	10.9734	7.69647	6.40909	4.95625	3.8808	23.6304	22.624	5.12303	7.50898	9.58074	7.11438	6.97459	9.35768	9.82738	3.86639	14.665	11.5552	13.9177	6.78436	6.45871	5.07446	9.17819	15.5463	14.294	5.93948	11.0036	5.04034	13.8219	14.4624	12.2344	14.2341	18.0961	4.02264	16.9984	7.64637	6.98541	8.52296	7.08733	10.728	11.9088	6.15824	13.0961	9.94335	14.2988	12.2153	16.7378	21.0701	9.83312	10.0297	12.203	15.448	12.9601	13.6424	2.61524	18.5691	12.1156	11.8705	11.4536	5.53019	15.1266	5.38991	12.3544	11.4152	3.86088	28.8476	3.79575	14.0417	8.76032	8.13101	12.8949	6.39707	25.5971	5.80552	16.9302	15.3712	7.9842	7.73288	11.6258	9.47753	9.92358	4.74475	7.67613	6.19115	16.2189	8.95718	12.3824	5.93089	5.95788	17.0215	2.11382	8.15433	30.1729	30.796
ENSG00000101255	8.86918	9.94932	10.3773	3.6884	7.37383	4.65279	78.405	13.5136	12.9734	4.83472	13.2092	13.072	2.48405	3.71021	3.3333	79.9944	13.5646	4.18972	18.8337	10.2795	10.5056	4.32271	77.4386	24.0436	4.83918	18.7176	16.0489	3.36633	6.83288	17.9103	6.9847	17.367	5.69322	40.3387	5.9621	24.722	12.4581	3.9774	10.8036	7.9101	6.78469	5.2065	6.24425	9.13594	13.4082	4.78485	7.93203	10.5481	117.872	15.0564	3.92027	6.92432	7.98244	49.0441	12.8176	10.6957	20.3144	7.20488	2.37947	16.4174	8.75661	18.1098	9.06608	12.0784	5.43515	30.752	13.7116	15.9488	2.75737	2.92805	6.44652	22.8564	8.64795	7.98223	32.8518	20.1951	6.40223	10.7559	15.0491	12.9113	9.35898	11.5166	11.6499	12.1105	8.22413	6.44097	11.1062	14.8558	8.42933	8.44028	12.5889	9.66196	7.92048	10.7534	26.5203	11.5916	14.7967	8.34995	8.01487	14.513	12.3793	61.0049	33.8965
ENSG00000101266	14.7332	43.3587	17.8632	17.8212	18.9733	11.1794	51.5186	33.7719	24.3395	15.3179	18.9582	19.0324	14.1504	11.4311	17.0132	29.8382	16.4658	17.9035	16.4954	15.9898	17.1945	16.7086	49.0219	27.0463	17.224	25.5857	16.6311	14.3743	14.9869	26.7416	15.6876	27.2736	20.4607	8.60553	18.4102	24.1611	22.8971	11.3965	21.4933	15.281	19.8277	11.3147	20.3654	21.5918	33.2274	19.2462	11.3453	16.3872	36.981	15.3512	9.68532	25.3945	23.1228	17.4929	30.2248	20.4346	25.7445	9.66736	8.13192	20.1716	20.671	27.2018	30.1445	16.5813	14.7608	9.78271	31.4365	47.7032	13.6969	15.5737	8.70186	12.4532	15.6033	6.16211	25.239	19.4108	13.0691	20.7979	10.9463	21.2233	19.2427	24.0692	20.2594	17.827	6.18379	14.1953	25.6554	17.4493	19.7972	19.6969	16.6065	12.2619	36.7943	22.86	35.1863	18.4971	16.6066	16.1285	21.5745	5.35407	26.1701	66.3517	58.3074
ENSG00000101350	2.79672	13.5523	4.53005	8.98115	6.9026	8.82873	13.0505	10.926	8.97362	6.2939	6.5042	7.26329	3.07473	6.30032	4.48099	2.99996	7.59548	2.97485	4.74433	3.76636	3.07047	6.22929	6.17959	11.0746	5.44138	5.66104	6.03726	4.38166	3.07198	7.95077	4.53618	4.91128	3.5636	6.1333	5.56631	7.45236	7.38313	4.90684	5.15662	5.245	6.20502	3.07587	5.40786	5.01288	7.41092	5.99554	6.39888	3.84589	10.2605	2.62119	8.15665	5.81392	6.39199	3.60963	7.44475	5.8812	8.62931	2.95829	7.41274	3.83942	5.4156	7.87866	7.72789	3.10608	2.37198	4.29518	6.21366	5.00928	8.31849	4.3356	3.32359	4.5376	3.26891	1.60782	2.19569	2.99231	4.56102	4.55235	2.67879	4.03652	7.54281	5.89517	7.23148	8.21053	4.93696	6.35992	10.088	5.00984	4.14652	13.0764	3.93406	5.89938	2.44531	4.58966	6.03886	4.27347	3.55447	5.26437	6.49877	6.09656	10.7041	26.4826	24.7491
ENSG00000101367	22.4429	107.078	38.3627	36.3266	22.5471	31.3359	64.4801	82.8223	42.9131	51.7917	38.0864	27.0307	19.3848	44.2667	28.9829	29.9532	17.0897	19.8983	55.1195	39.4352	14.503	20.1481	50.2033	50.6543	23.0824	64.0422	26.7934	28.7709	31.336	79.0028	30.853	48.2303	32.8995	27.07	34.8275	27.8972	21.3886	31.6711	69.7817	27.2764	52.6365	15.6984	24.542	40.4731	75.6183	33.8039	21.6514	18.3806	87.0399	26.5224	39.254	31.9574	39.4676	32.5492	40.3774	47.1504	32.9442	25.0628	34.9043	23.1382	47.5469	49.7792	48.357	27.7595	13.3299	30.8708	59.8306	28.2996	51.373	16.936	24.7981	28.2156	26.7038	16.9847	44.409	33.452	30.0433	51.498	18.5543	37.886	45.674	47.7197	83.7193	42.6064	24.1467	49.2331	44.0991	29.6951	33.9593	84.2765	44.1324	33.463	18.0421	37.2337	58.9001	25.5553	39.2407	62.9377	55.7098	12.0138	67.7248	99.2338	103.257
